0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:17 +0700] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:18 +0700] "GET /jpg/phone-call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:18 +0700] "GET /css/bds.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:18 +0700] "GET /jpg/email.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:18 +0700] "GET /homes HTTP/1.1" 200 203199
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:18 +0700] "GET /jpg/location.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /jpg/heart%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /jpg/HaNoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /JS/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /jpg/heartred.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /jpg/binhduong.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /jpg/HCM.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /null HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /amoi HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /a HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /jpg/DaNang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /jpg/2833732387999181063.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /null HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:19 +0700] "GET /jpg/DongNai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:20 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:20 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:20 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:20 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:21 +0700] "GET /login.jsp HTTP/1.1" 200 6663
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:21 +0700] "GET /css/login.css HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:23 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:23 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:23 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:23 +0700] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "GET /css/bds.css HTTP/1.1" 200 23623
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "GET /jpg/email.png HTTP/1.1" 200 6136
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "GET /welcome HTTP/1.1" 200 261771
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "GET /jpg/phone-call.png HTTP/1.1" 200 10641
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "GET /JS/script.js HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "-" 400 -
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "GET /jpg/location.png HTTP/1.1" 200 17276
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "GET /jpg/heart%20(1).png HTTP/1.1" 200 15283
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "GET /jpg/HaNoi.jpg HTTP/1.1" 200 30035
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "GET /jpg/1%20(1).webp HTTP/1.1" 200 528150
0:0:0:0:0:0:0:1 - - [15/Dec/2024:16:32:24 +0700] "GET /jpg/HCM.jpg HTTP/1.1" 200 23494
